org,공고수,투명성점수,임금,근무시간,근무기간,모집인원,지원마감일,자격요건,지원방법,문의처,주채널,사용채널수
매크로경영교육센터,1,62.5,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,서담,1
AMBM Lab,1,25.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,학과·기관 홈페이지,1
현장실습지원센터,1,62.5,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,학과·기관 홈페이지,1
LINC 사업단 창업교육센터,1,75.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,서담,1
가상자산연구소,1,62.5,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,학과·기관 홈페이지,1
국제대학원,1,50.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,서담,1
TNT 어학센터,1,62.5,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,서담,1
디지털인문학연계전공,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,청년광장,1
국제문화교육원,1,62.5,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,서담,1
서강비즈니스센터,1,87.5,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,서담,1
서강매크로경영교육센터,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,서담,1
영원한 증언 프로젝트,1,62.5,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,서담,1
예산팀,1,87.5,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,청년광장,1
상담심리학전공,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,청년광장,1
마포중앙도서관 영어교육센터,1,75.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,서담,1
인공광합성연구센터,1,75.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,청년광장,1
사회봉사센터,1,75.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,학과·기관 홈페이지,1
경제대학,1,75.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,서담,1
인문대학행정팀,1,87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,서담,1
AI·SW대학원,1,87.5,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,청년광장,1
경영학,1,87.5,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,서담,1
부동산학협동과정,1,75.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,청년광장,1
일반대학원 제32대 총학생회,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,청년광장,1
경영대 빅데이터 연구팀,1,87.5,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,서담,1
공학교육연구센터,1,75.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,학과·기관 홈페이지,1
대학원총학생회,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,청년광장,1
마포-서강 영어캠프(MSEC) 운영본부,1,87.5,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,서담,1
